Position X	Position Y	Position Z	
45.0	30.0	65.0	
46.0	31.0	65.0	
47.0	33.0	65.0	
52.0	41.0	65.0	
53.0	42.0	65.0	
54.0	43.0	65.0	
58.0	52.0	65.0	
59.0	53.0	65.0	
59.0	58.0	65.0	
60.0	59.0	65.0	
62.0	66.0	65.0	
63.0	67.0	65.0	
65.0	75.0	65.0	
68.0	87.0	65.0	
70.0	93.0	65.0	
43.0	25.0	66.0	
46.0	30.0	66.0	
50.0	35.0	66.0	
52.0	42.0	66.0	
54.0	42.0	66.0	
53.0	43.0	66.0	
54.0	46.0	66.0	
59.0	52.0	66.0	
58.0	53.0	66.0	
60.0	58.0	66.0	
59.0	59.0	66.0	
61.0	63.0	66.0	
64.0	64.0	66.0	
64.0	70.0	66.0	
63.0	71.0	66.0	
64.0	75.0	66.0	
66.0	79.0	66.0	
67.0	83.0	66.0	
71.0	87.0	66.0	
66.0	88.0	66.0	
68.0	88.0	66.0	
70.0	92.0	66.0	
69.0	93.0	66.0	
72.0	96.0	66.0	
42.0	31.0	67.0	
48.0	39.0	67.0	
63.0	58.0	67.0	
66.0	66.0	67.0	
60.0	68.0	67.0	
68.0	78.0	67.0	
62.0	80.0	67.0	
63.0	82.0	67.0	
71.0	82.0	67.0	
73.0	92.0	67.0	
48.0	26.0	68.0	
43.0	34.0	68.0	
54.0	36.0	68.0	
57.0	41.0	68.0	
48.0	42.0	68.0	
59.0	47.0	68.0	
60.0	49.0	68.0	
53.0	50.0	68.0	
62.0	51.0	68.0	
55.0	54.0	68.0	
64.0	62.0	68.0	
57.0	63.0	68.0	
65.0	63.0	68.0	
60.0	70.0	68.0	
61.0	74.0	68.0	
62.0	79.0	68.0	
71.0	83.0	68.0	
68.0	98.0	68.0	
72.0	98.0	68.0	
49.0	26.0	69.0	
47.0	40.0	69.0	
60.0	47.0	69.0	
59.0	69.0	69.0	
68.0	72.0	69.0	
69.0	77.0	69.0	
64.0	87.0	69.0	
65.0	92.0	69.0	
43.0	23.0	70.0	
48.0	24.0	70.0	
48.0	26.0	70.0	
43.0	34.0	70.0	
55.0	39.0	70.0	
51.0	47.0	70.0	
59.0	47.0	70.0	
53.0	50.0	70.0	
53.0	52.0	70.0	
57.0	65.0	70.0	
60.0	69.0	70.0	
60.0	70.0	70.0	
61.0	74.0	70.0	
62.0	79.0	70.0	
71.0	81.0	70.0	
63.0	83.0	70.0	
71.0	83.0	70.0	
65.0	85.0	70.0	
42.0	25.0	71.0	
48.0	25.0	71.0	
48.0	39.0	71.0	
57.0	42.0	71.0	
62.0	52.0	71.0	
61.0	75.0	71.0	
62.0	80.0	71.0	
65.0	84.0	71.0	
65.0	88.0	71.0	
73.0	92.0	71.0	
73.0	96.0	71.0	
69.0	98.0	71.0	
44.0	33.0	72.0	
52.0	35.0	72.0	
54.0	51.0	72.0	
61.0	52.0	72.0	
57.0	59.0	72.0	
64.0	64.0	72.0	
60.0	67.0	72.0	
66.0	70.0	72.0	
61.0	71.0	72.0	
68.0	79.0	72.0	
71.0	87.0	72.0	
67.0	93.0	72.0	
45.0	26.0	73.0	
45.0	32.0	72.0	
46.0	32.0	73.0	
47.0	33.0	73.0	
48.0	34.0	73.0	
49.0	34.0	72.0	
49.0	35.0	73.0	
50.0	35.0	72.0	
49.0	36.0	72.0	
50.0	37.0	73.0	
50.0	38.0	72.0	
51.0	38.0	73.0	
52.0	40.0	72.0	
51.0	41.0	72.0	
52.0	41.0	73.0	
53.0	42.0	73.0	
54.0	42.0	72.0	
53.0	45.0	72.0	
54.0	45.0	73.0	
56.0	46.0	72.0	
55.0	47.0	72.0	
56.0	47.0	73.0	
56.0	50.0	73.0	
57.0	50.0	72.0	
60.0	59.0	73.0	
62.0	65.0	73.0	
62.0	67.0	72.0	
63.0	67.0	73.0	
63.0	70.0	73.0	
64.0	70.0	72.0	
64.0	74.0	73.0	
65.0	79.0	73.0	
66.0	79.0	72.0	
65.0	81.0	72.0	
68.0	82.0	72.0	
67.0	83.0	72.0	
68.0	83.0	73.0	
69.0	87.0	72.0	
69.0	92.0	73.0	
68.0	88.0	66.0	
68.0	88.0	66.0	
61.0	79.0	69.0	
52.0	50.0	69.0	
68.0	82.0	72.0	
69.0	87.0	72.0	
68.0	82.0	66.0	
68.0	82.0	66.0	
69.0	87.0	66.0	
45.0	22.0	69.0	
45.0	22.0	69.0	
44.0	23.0	69.0	
54.0	42.0	66.0	
54.0	42.0	66.0	
54.0	42.0	66.0	
55.0	38.0	69.0	
60.0	74.0	69.0	
59.0	70.0	69.0	
72.0	83.0	69.0	
72.0	83.0	69.0	
71.0	83.0	70.0	
60.0	47.0	69.0	
49.0	26.0	69.0	
67.0	74.0	72.0	
67.0	74.0	72.0	
65.0	74.0	72.0	
67.0	83.0	66.0	
65.0	81.0	72.0	
65.0	81.0	72.0	
66.0	81.0	73.0	
67.0	81.0	72.0	
53.0	45.0	72.0	
54.0	45.0	73.0	
55.0	45.0	72.0	
53.0	45.0	72.0	
71.0	83.0	68.0	
52.0	42.0	66.0	
48.0	39.0	71.0	
51.0	41.0	72.0	
56.0	46.0	66.0	
56.0	46.0	66.0	
48.0	39.0	71.0	
55.0	45.0	66.0	
56.0	46.0	66.0	
62.0	70.0	72.0	
63.0	70.0	73.0	
52.0	46.0	72.0	
49.0	36.0	72.0	
49.0	36.0	72.0	
49.0	36.0	72.0	
45.0	32.0	72.0	
49.0	34.0	72.0	
46.0	33.0	66.0	
46.0	33.0	66.0	
60.0	67.0	72.0	
60.0	67.0	72.0	
59.0	69.0	69.0	
48.0	31.0	72.0	
58.0	52.0	65.0	
49.0	28.0	69.0	
68.0	78.0	67.0	
68.0	78.0	67.0	
68.0	78.0	67.0	
68.0	79.0	72.0	
68.0	79.0	72.0	
69.0	92.0	65.0	
69.0	77.0	69.0	
56.0	46.0	72.0	
56.0	46.0	72.0	
60.0	49.0	68.0	
57.0	50.0	72.0	
60.0	58.0	66.0	
60.0	58.0	66.0	
64.0	64.0	66.0	
60.0	68.0	67.0	
65.0	74.0	66.0	
58.0	53.0	66.0	
52.0	42.0	72.0	
52.0	40.0	72.0	
53.0	45.0	72.0	
53.0	45.0	72.0	
66.0	81.0	65.0	
63.0	66.0	66.0	
62.0	66.0	65.0	
60.0	68.0	67.0	
60.0	68.0	67.0	
49.0	28.0	69.0	
66.0	81.0	65.0	
61.0	65.0	72.0	
61.0	65.0	72.0	
60.0	63.0	73.0	
64.0	65.0	72.0	
55.0	39.0	70.0	
57.0	41.0	68.0	
64.0	75.0	66.0	
64.0	75.0	66.0	
69.0	93.0	66.0	
51.0	40.0	65.0	
48.0	26.0	70.0	
49.0	28.0	69.0	
49.0	28.0	69.0	
62.0	65.0	73.0	
65.0	81.0	72.0	
64.0	82.0	72.0	
63.0	83.0	70.0	
48.0	39.0	67.0	
50.0	35.0	66.0	
65.0	85.0	70.0	
67.0	83.0	66.0	
64.0	82.0	72.0	
65.0	74.0	72.0	
64.0	74.0	73.0	
46.0	30.0	66.0	
46.0	33.0	66.0	
72.0	83.0	69.0	
70.0	92.0	66.0	
59.0	59.0	66.0	
70.0	92.0	72.0	
70.0	92.0	72.0	
70.0	95.0	73.0	
67.0	93.0	72.0	
69.0	92.0	73.0	
52.0	35.0	72.0	
52.0	35.0	72.0	
50.0	37.0	73.0	
51.0	47.0	70.0	
51.0	47.0	70.0	
52.0	50.0	69.0	
54.0	46.0	66.0	
51.0	47.0	70.0	
53.0	45.0	72.0	
60.0	59.0	73.0	
64.0	70.0	66.0	
66.0	79.0	66.0	
65.0	75.0	65.0	
61.0	74.0	68.0	
61.0	79.0	69.0	
62.0	66.0	65.0	
63.0	66.0	66.0	
68.0	82.0	66.0	
65.0	74.0	72.0	
48.0	39.0	71.0	
48.0	39.0	71.0	
61.0	71.0	72.0	
60.0	74.0	69.0	
60.0	69.0	70.0	
71.0	87.0	66.0	
71.0	82.0	67.0	
45.0	32.0	72.0	
44.0	33.0	72.0	
44.0	33.0	72.0	
55.0	54.0	68.0	
55.0	54.0	68.0	
62.0	70.0	72.0	
60.0	74.0	69.0	
59.0	52.0	66.0	
60.0	68.0	67.0	
43.0	34.0	68.0	
46.0	30.0	66.0	
61.0	52.0	72.0	
50.0	35.0	72.0	
50.0	37.0	73.0	
50.0	38.0	72.0	
70.0	92.0	72.0	
50.0	35.0	66.0	
66.0	88.0	66.0	
