Position X	Position Y	Position Z	
38.0	28.0	65.0	
43.0	29.0	65.0	
44.0	32.0	65.0	
44.0	34.0	65.0	
46.0	37.0	65.0	
48.0	40.0	65.0	
50.0	45.0	65.0	
52.0	50.0	65.0	
53.0	51.0	65.0	
54.0	54.0	65.0	
55.0	59.0	65.0	
64.0	59.0	65.0	
66.0	68.0	65.0	
63.0	74.0	65.0	
64.0	75.0	65.0	
65.0	77.0	65.0	
65.0	78.0	65.0	
67.0	80.0	65.0	
68.0	84.0	65.0	
69.0	92.0	65.0	
72.0	94.0	65.0	
73.0	95.0	65.0	
74.0	96.0	65.0	
75.0	97.0	65.0	
41.0	26.0	66.0	
45.0	28.0	66.0	
41.0	32.0	66.0	
43.0	32.0	66.0	
42.0	33.0	66.0	
46.0	35.0	66.0	
47.0	37.0	66.0	
46.0	39.0	66.0	
49.0	41.0	66.0	
50.0	43.0	66.0	
52.0	43.0	66.0	
47.0	44.0	66.0	
50.0	46.0	66.0	
49.0	50.0	66.0	
51.0	50.0	66.0	
54.0	51.0	66.0	
56.0	51.0	66.0	
55.0	60.0	66.0	
59.0	71.0	66.0	
67.0	71.0	66.0	
57.0	72.0	66.0	
64.0	74.0	66.0	
63.0	76.0	66.0	
62.0	77.0	66.0	
68.0	80.0	66.0	
69.0	84.0	66.0	
66.0	85.0	66.0	
70.0	92.0	66.0	
69.0	93.0	66.0	
73.0	94.0	66.0	
72.0	95.0	66.0	
75.0	96.0	66.0	
77.0	96.0	66.0	
74.0	99.0	66.0	
37.0	25.0	67.0	
46.0	30.0	67.0	
48.0	50.0	67.0	
52.0	60.0	67.0	
68.0	60.0	67.0	
53.0	68.0	67.0	
71.0	80.0	67.0	
72.0	84.0	67.0	
65.0	85.0	67.0	
73.0	91.0	67.0	
66.0	93.0	67.0	
70.0	97.0	67.0	
76.0	100.0	67.0	
38.0	25.0	68.0	
35.0	26.0	68.0	
36.0	31.0	68.0	
40.0	33.0	68.0	
42.0	38.0	68.0	
51.0	38.0	68.0	
54.0	44.0	68.0	
54.0	46.0	68.0	
55.0	48.0	68.0	
48.0	49.0	68.0	
57.0	50.0	68.0	
50.0	53.0	68.0	
67.0	57.0	68.0	
52.0	59.0	68.0	
68.0	61.0	68.0	
69.0	70.0	68.0	
54.0	71.0	68.0	
68.0	72.0	68.0	
67.0	74.0	68.0	
71.0	81.0	68.0	
64.0	82.0	68.0	
38.0	24.0	69.0	
40.0	24.0	69.0	
43.0	25.0	69.0	
34.0	28.0	69.0	
48.0	32.0	69.0	
40.0	34.0	69.0	
55.0	46.0	69.0	
47.0	49.0	69.0	
58.0	52.0	69.0	
59.0	54.0	69.0	
62.0	54.0	69.0	
51.0	59.0	69.0	
69.0	61.0	69.0	
72.0	81.0	69.0	
79.0	97.0	69.0	
38.0	25.0	70.0	
54.0	46.0	70.0	
54.0	47.0	70.0	
48.0	48.0	70.0	
48.0	49.0	70.0	
48.0	51.0	70.0	
66.0	56.0	70.0	
52.0	59.0	70.0	
68.0	61.0	70.0	
53.0	62.0	70.0	
53.0	69.0	70.0	
54.0	71.0	70.0	
68.0	72.0	70.0	
61.0	78.0	70.0	
71.0	79.0	70.0	
71.0	81.0	70.0	
66.0	87.0	70.0	
73.0	91.0	70.0	
66.0	94.0	70.0	
77.0	100.0	70.0	
37.0	31.0	71.0	
52.0	41.0	71.0	
54.0	45.0	71.0	
57.0	51.0	71.0	
68.0	60.0	71.0	
69.0	69.0	71.0	
72.0	84.0	71.0	
70.0	97.0	71.0	
78.0	98.0	71.0	
74.0	100.0	71.0	
41.0	26.0	72.0	
36.0	27.0	72.0	
46.0	31.0	72.0	
42.0	35.0	72.0	
43.0	37.0	72.0	
48.0	46.0	72.0	
49.0	50.0	72.0	
52.0	55.0	72.0	
63.0	56.0	72.0	
66.0	58.0	72.0	
70.0	80.0	72.0	
73.0	92.0	72.0	
67.0	93.0	72.0	
71.0	96.0	72.0	
38.0	27.0	72.0	
38.0	28.0	73.0	
38.0	29.0	72.0	
40.0	29.0	72.0	
43.0	29.0	73.0	
43.0	31.0	73.0	
43.0	32.0	72.0	
44.0	32.0	73.0	
45.0	34.0	72.0	
44.0	35.0	72.0	
46.0	35.0	72.0	
45.0	36.0	73.0	
45.0	37.0	72.0	
46.0	37.0	73.0	
47.0	37.0	72.0	
47.0	38.0	73.0	
48.0	41.0	73.0	
48.0	42.0	72.0	
49.0	43.0	73.0	
50.0	43.0	72.0	
53.0	52.0	72.0	
54.0	52.0	73.0	
54.0	54.0	73.0	
62.0	58.0	73.0	
55.0	59.0	73.0	
56.0	59.0	72.0	
57.0	59.0	73.0	
64.0	60.0	73.0	
56.0	67.0	73.0	
60.0	71.0	73.0	
61.0	72.0	72.0	
64.0	72.0	72.0	
62.0	73.0	73.0	
64.0	76.0	73.0	
65.0	76.0	72.0	
64.0	77.0	72.0	
65.0	77.0	73.0	
65.0	79.0	72.0	
66.0	79.0	73.0	
67.0	79.0	72.0	
66.0	80.0	72.0	
68.0	80.0	72.0	
67.0	81.0	72.0	
68.0	84.0	73.0	
69.0	84.0	72.0	
69.0	92.0	73.0	
72.0	93.0	72.0	
70.0	94.0	72.0	
72.0	94.0	73.0	
73.0	94.0	72.0	
73.0	95.0	73.0	
